scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,std_dev,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_return,rari,net_return,fund_size_category,return_consistency,cluster,risk_cluster_label,investment_score
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10.0,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4.0,6.5,6.9,6.180000000000001,0.65814696485623,5.91,Small (<500 Cr),71.92170966641258,1,⭐ High Return / Low Risk,33.13
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288.0,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,5.275,7.326388888888889,4.915,Mid (500–5K Cr),73.0574431366087,1,⭐ High Return / Low Risk,37.93
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157.0,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2.0,18.9,9.7,11.38,1.0756143667296785,10.85,Small (<500 Cr),65.03224563039775,0,📈 High Return / Moderate Risk,42.85
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637.0,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,8.9,9.85,0.6571047364909941,9.090000000000002,Mid (500–5K Cr),64.58416172643992,0,📈 High Return / Moderate Risk,33.7
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386.0,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,11.775,1.134393063583815,11.165,Large (5K–20K Cr),66.36288189983975,0,📈 High Return / Moderate Risk,42.42
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384.0,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,13.81,0.5409322365844105,12.64,Mid (500–5K Cr),63.28826892859998,0,📈 High Return / Moderate Risk,37.98
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994.0,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3,6.565,3.4371727748691097,6.194999999999999,Large (5K–20K Cr),72.00001457865595,1,⭐ High Return / Low Risk,39.18
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1000,1000,1.29,15.0,10,Vinod Narayan Bhat,1.42,1.855,20.18,0.86,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3,12.415,0.615213082259663,11.125,Small (<500 Cr),53.642808268797566,0,📈 High Return / Moderate Risk,36.13
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120.0,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,6.795,3.5207253886010363,6.485,Large (5K–20K Cr),72.12829334899988,1,⭐ High Return / Low Risk,40.49
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032.0,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9.0,7.2,8.129999999999999,2.8034482758620687,7.439999999999999,Mid (500–5K Cr),72.52896795486346,1,⭐ High Return / Low Risk,40.29
